Question,A,B,C,D,Correct
=== CHỦ ĐỀ: Bộ câu hỏi chuyên môn - KDAPAN ===,-,-,-,-,-
"Theo Luật kinh doanh bất động sản 2023 (hiệu lực 01/08/2024), điều kiện tiên quyết để một cá nhân được hành nghề môi giới bất động sản là gì?",Có ít nhất 5 năm kinh nghiệm.,Phải là thành viên của Hiệp hội bất động sản Việt Nam.,Có Chứng chỉ hành nghề môi giới bất động sản và phải làm việc trong một tổ chức kinh doanh dịch vụ bất động sản. (6821 & 6829),Phải có bằng đại học chuyên ngành Luật hoặc Kinh tế.,C
"Yếu tố ""Hội nhập quốc tế"" ảnh hưởng đến nghề môi giới bất động sản Việt Nam chủ yếu ở khía cạnh nào?",Làm giảm số lượng nhà môi giới bất động sản trong nước.,"Đòi hỏi nâng cao tính chuyên nghiệp, kỹ năng (ngoại ngữ, đàm phán quốc tế), hiểu biết luật pháp và thông lệ quốc tế để phục vụ khách hàng/đối tác nước ngoài.",Khiến mức phí hoa hồng giảm xuống.,Hạn chế vai trò của các sàn giao dịch bất động sản.,B
"Nguyên tắc đạo đức ""Trung thành"" (Loyalty) của nhà môi giới bất động sản đối với khách hàng bị vi phạm trong trường hợp nào sau đây?",Môi giới tư vấn cho người bán nên sửa chữa lại nhà trước khi bán để được giá tốt hơn.,Môi giới đại diện người mua nhưng lại cố tình giới thiệu bất động sản giá cao hơn thị trường để nhận hoa hồng cao hơn từ người bán (nếu có thỏa thuận ngầm).,Môi giới từ chối tiết lộ thông tin tài chính cá nhân của người bán cho người mua.,Môi giới nỗ lực đàm phán để đạt được các điều khoản có lợi nhất cho khách hàng của mình.,B
Việc pháp luật yêu cầu nhà môi giới bất động sản phải có Chứng chỉ hành nghề nhằm mục đích chính là gì?,Tăng nguồn thu từ lệ phí thi và cấp chứng chỉ.,Hạn chế số lượng người tham gia vào nghề môi giới bất động sản.,"Đảm bảo nhà môi giới bất động sản có kiến thức chuyên môn, pháp luật và đạo đức cơ bản, góp phần nâng cao chất lượng dịch vụ và bảo vệ người tiêu dùng.",Giúp các trường đại học có thêm chương trình đào tạo.,C
"Một cá nhân có Chứng chỉ hành nghề môi giới bất động sản nhưng không làm việc cho công ty nào, tự đứng ra nhận tiền của khách để tìm nhà giúp họ từ ngày 01/08/2024. Hành vi này có phù hợp với quy định mới không?",Hoàn toàn phù hợp vì đã có chứng chỉ.,"Không phù hợp, cá nhân phải hành nghề thông qua một tổ chức kinh doanh dịch vụ bất động sản.",Chỉ phù hợp nếu giao dịch giá trị thấp.,Chỉ phù hợp nếu khách hàng đồng ý.,B
"Điều kiện về ""cơ sở vật chất, kỹ thuật"" đối với doanh nghiệp kinh doanh dịch vụ môi giới bất động sản nhằm đảm bảo điều gì?","Văn phòng phải thật sang trọng, hoành tráng.","Doanh nghiệp có địa điểm hoạt động rõ ràng, có đủ trang thiết bị tối thiểu để phục vụ hoạt động nghiệp vụ và lưu trữ hồ sơ theo quy định.",Doanh nghiệp phải có website riêng.,Doanh nghiệp phải có ít nhất 10 máy tính.,B
Yếu tố nào sau đây có ảnh hưởng GIÁN TIẾP nhưng lại mang tính quyết định đến sự sôi động hay trầm lắng của nghề môi giới bất động sản trong dài hạn?,Quy định về mẫu hợp đồng môi giới.,Số lượng các khóa đào tạo môi giới được mở.,Tình hình kinh tế vĩ mô và chu kỳ của thị trường bất động sản.,Mức lệ phí cấp chứng chỉ hành nghề.,C
"Nguyên tắc ""Công bằng, minh bạch"" trong hoạt động môi giới đòi hỏi nhà môi giới bất động sản KHÔNG được làm điều gì?",Cung cấp thông tin về quy hoạch cho người mua.,Che giấu thông tin về một khoản phí mà khách hàng phải trả không được báo trước.,Giải thích rõ các điều khoản trong hợp đồng.,Nỗ lực tìm kiếm Bất động sản phù hợp nhất với nhu cầu khách hàng.,B
Việc Luật kinh doanh bất động sản Việt Nam công nhận và quy định về nghề môi giới bất động sản có ý nghĩa gì đối với sự phát triển của nghề?,Hạn chế sự phát triển của nghề.,"Tạo cơ sở pháp lý chính thức, khẳng định vai trò xã hội, thúc đẩy sự chuyên nghiệp hóa và tạo điều kiện cho nghề phát triển một cách bài bản, có quản lý.",Khiến việc hành nghề trở nên khó khăn hơn không cần thiết.,Không có ý nghĩa gì đáng kể.,B
